Input,Output
on us. <sep> He was 15 and his kidneys were failing. It was really hard for me and my kids.,I hope he is in a better place now. How did you have Blackjack for?
me and my kids. <sep> I hope he is in a better place now. How did you have Blackjack for?,Since he was 4 months old. It was so hard_comma_ but the right thing to do.
have Blackjack for? <sep> Since he was 4 months old. It was so hard_comma_ but the right thing to do.,So you all had relatively all his life. Yes_comma_ it was the right thing to do. Did you get another pet instead?
I carried one of her kids out of the grocery store. It seemed that she felt comfortable around me. ,Wow! You must have a very trusting face! That was very nice of you to help her.
me.  <sep> Wow! You must have a very trusting face! That was very nice of you to help her.,I like to help others! It was not an easy thing to do_comma_ but it seemed like it was the right thing to do. 
It was not an easy thing to do_comma_ but it seemed like it was the right thing to do. ,It definitely was! How old do you think her kids were?
it was the right thing to do.  <sep> It definitely was! How old do you think her kids were?,I think once was 4 and the other was 2. I helped her with the 4 year old. 
I am afraid of the upcoming economic crisis in the USA.It will affect all of us.,I almost don't want to talk about it_comma_ you know? Are you doing anything to try to move from a place of fear to one of preparation or opportunity?
know? Are you doing anything to try to move from a place of fear to one of preparation or opportunity?,yes. I am saving all i can for when the storm comes.
fear to one of preparation or opportunity? <sep> yes. I am saving all i can for when the storm comes.,Good for you. And I hope you have moments of joy while you prepare for that?
the storm comes. <sep> Good for you. And I hope you have moments of joy while you prepare for that?,I don't get to have moments of joy in those situations.
Last year_comma_ i went to a restaurant and they had a pinball machine.,Did you play it?
Last year_comma_ i went to a restaurant and they had a pinball machine. <sep> Did you play it?,I did.  It took me back to my childhood.
had a pinball machine. <sep> Did you play it? <sep> I did.  It took me back to my childhood.,"That sounds so fun! I""m glad you enjoyed it!"
"I did.  It took me back to my childhood. <sep> That sounds so fun! I""m glad you enjoyed it!",When i was a child_comma_ i would steal dollars from my brother's coin collection and go to the arcade.
I saw a homeless man sweating in the sun the other day.,I imagine that made you feel empathetic to his plight.
homeless man sweating in the sun the other day. <sep> I imagine that made you feel empathetic to his plight.,I was empathetic. It also make me feel thankful for my blessings.
made you feel empathetic to his plight. <sep> I was empathetic. It also make me feel thankful for my blessings.,Please tell me that you gave him some money to help him out.
I made plans to spend time with my friend Megan today_comma_ and unfortunately_comma_ I had to reschedule yet again.,That's unfortunate. Do you like her?
with my friend Megan today_comma_ and unfortunately_comma_ I had to reschedule yet again. <sep> That's unfortunate. Do you like her?,Of course_comma_ she's my best friend.  I just feel bad that I had to bail on her for the third time in a row.
friend.  I just feel bad that I had to bail on her for the third time in a row.,I am sorry. Did you set up another day to hang out?
for the third time in a row. <sep> I am sorry. Did you set up another day to hang out?,I'm taking her out to breakfast when she gets off work Sunday morning.  Time to see what this IHOB is all about!
The other day I met up with some friends I hadn't seen in a while,What did you and your friends do on that day?
with some friends I hadn't seen in a while <sep> What did you and your friends do on that day?,We went to a new restaurant none of us had ever been to. It was fun!
on that day? <sep> We went to a new restaurant none of us had ever been to. It was fun!,That does sound fun! Was the food good?
attacked in the street by someone who stole my bag. I was so scared that I had a panic attack.,Oh no_comma_ did you report it to the police?
I was so scared that I had a panic attack. <sep> Oh no_comma_ did you report it to the police?,Yes_comma_ I did but I am still shocked.
attack. <sep> Oh no_comma_ did you report it to the police? <sep> Yes_comma_ I did but I am still shocked.,I have some hot chocolate that can help calm you down a bit.
I let my friend borrow my car_comma_ and that night he ended up crashing and totaling it. I was crushed.,No! THAT is painful! He must have felt awful! Did he have insurance to cover anything?
I was crushed. <sep> No! THAT is painful! He must have felt awful! Did he have insurance to cover anything?,Well I had insurance_comma_ but he was driving so it wasn't covered. He's been paying me back bit by bit.
